"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-AT1G23390",11638.4790329384,1.72614323435997,0.0548866575948413,31.4492321085008,4.3003251208785e-217,1.16660231720397e-214
"gene-AT5G06320",5997.76170550481,-2.23627478397068,0.0712051043741936,-31.4061021836119,1.67020780088365e-216,4.47829321867165e-214
"gene-AT3G47160",1439.05396682266,-2.70527309459963,0.0862111482561465,-31.379620261661,3.83869787061984e-216,1.01743142757038e-213
"gene-AT5G49480",7377.50724710732,-2.6641108104149,0.0851584966858659,-31.2841456119442,7.6674929552315e-215,2.00914454607595e-212
"gene-AT3G15210",3167.45409878583,-2.72505717057167,0.0872927637229826,-31.2174463764196,6.17765519316977e-214,1.6005679898798e-211
"gene-AT3G18773",698.940683286909,4.85129904409605,0.156039702540263,31.0901582425426,3.2718493677956e-212,8.38284161911096e-210
"gene-AT5G54940",10411.5264945019,-1.50240790646443,0.0484013080511309,-31.0406467708949,1.52570191985416e-211,3.8660616010898e-209
"gene-AT2G28900",2730.66190506999,-2.11251159694034,0.0681255523883839,-31.009093106459,4.06501672199117e-211,1.01886109339559e-208
"gene-AT3G16860",1186.67537939427,-3.19327362364541,0.103843258184873,-30.7508997643391,1.18937832676186e-207,2.94901879965611e-205
"gene-AT1G19370",1302.77897261876,-3.21828233403349,0.104984117297602,-30.6549449276266,2.27063206937516e-206,5.57005371145977e-204
"gene-AT1G19180",2194.16223218326,-3.04130349868278,0.099278212736964,-30.6341483678868,4.2975134284973e-206,1.04311960155494e-203
"gene-AT2G15890",7140.77227276068,-2.62813944666237,0.0861703848288956,-30.4993351472311,2.6593144631045e-204,6.38761793799236e-202
"gene-AT5G24590",2989.98908499379,-1.96958585361897,0.0648324171470989,-30.3796455583348,1.02031548882122e-202,2.42551080997202e-200
"gene-AT5G62920",1076.60764307677,-2.77151016506951,0.09344050662262,-29.6606928327439,2.469031021382e-193,5.80952921653547e-191
"gene-AT3G50700",1497.39499006652,-2.78695129817384,0.0947040722936668,-29.4279985081509,2.40784042526457e-190,5.60832246122986e-188
"gene-AT3G52400",2026.84847642723,-2.19226215512086,0.0745229894845254,-29.4172599661488,3.30372471601325e-190,7.61805882265496e-188
"gene-AT4G18280",1310.63447752192,-3.14321583810724,0.108106681455238,-29.0751301935829,7.40662918956387e-186,1.69098477705102e-183
"gene-AT2G41640",1497.18072848348,-3.28309953793693,0.112925997028894,-29.0730179437505,7.87631081408802e-186,1.78058677511819e-183
